time,rpm
10,0.00
20,0.00
30,0.00
40,0.00
50,0.00
60,0.00
70,0.00
80,0.00
90,0.00
100,0.00
110,0.00
120,0.00
130,0.00
140,0.00
150,0.00
160,0.00
171,0.00
181,0.00
191,0.00
201,0.00
211,0.00
221,0.00
231,0.00
241,0.00
251,0.00
261,0.00
271,0.00
281,0.00
291,0.00
301,0.00
311,0.00
321,0.00
331,0.00
342,0.00
352,0.00
362,0.00
372,0.00
382,0.00
392,0.00
402,0.00
412,0.00
422,0.00
432,0.00
442,0.00
452,0.00
462,0.00
472,0.00
482,0.00
492,0.00
502,0.00
512,0.00
522,0.00
532,0.00
542,0.00
552,0.00
562,0.00
572,0.00
582,0.00
592,0.00
602,0.00
612,0.00
622,0.00
632,0.00
642,0.00
652,0.00
662,0.00
672,0.00
683,0.00
693,0.00
703,0.00
713,0.00
723,0.00
733,0.00
743,0.00
753,0.00
763,0.00
773,0.00
783,0.00
793,0.00
803,0.00
813,0.00
823,0.00
833,0.00
843,0.00
854,0.00
864,0.00
874,0.00
884,0.00
894,0.00
904,0.00
914,0.00
924,0.00
934,0.00
944,0.00
954,0.00
964,0.00
974,0.00
984,0.00
994,0.00
1004,0.00
1014,0.00
1024,0.00
1034,0.00
1044,0.00
1054,0.00
1064,0.00
1074,0.00
1084,0.00
1094,0.00
1104,0.00
1114,0.00
1124,0.00
1134,0.00
1144,0.00
1154,0.00
1164,0.00
1174,0.00
1184,0.00
1195,0.00
1205,0.00
1215,0.00
1225,0.00
1235,0.00
1245,0.00
1255,0.00
1265,0.00
1276,0.00
1289,0.00
1300,0.00
1311,0.00
1323,0.00
1334,0.00
1345,0.00
1357,0.00
1369,0.00
1380,0.00
1391,0.00
1402,0.00
1414,0.00
1426,0.00
1437,0.00
1448,0.00
1460,0.00
1471,0.00
1482,0.00
1495,0.00
1506,0.00
1517,0.00
1528,0.00
1540,0.00
1551,0.00
1563,0.00
1574,0.00
1586,0.00
1597,0.00
1608,0.00
1620,0.00
1632,0.00
1643,0.00
1654,0.00
1666,0.00
1677,0.00
1689,0.00
1700,0.00
1712,0.00
1723,0.00
